date,rice_type,sales_kg,production_kg,purchases_kg,current_stock_kg,price_per_kg,future_demand_kg
2022-01-01,Basmati,313,259,205,709,91.71,325.87
2022-01-01,Sona Masuri,246,185,115,480,63.69,253.05
2022-01-01,Ponni,198,181,91,433,58.12,199.45
2022-02-01,Basmati,361,344,178,607,92.93,359.12
2022-02-01,Sona Masuri,269,214,190,578,64.49,283.85
2022-02-01,Ponni,212,227,110,479,57.11,216.0
2022-03-01,Basmati,402,365,247,632,92.19,398.83
2022-03-01,Sona Masuri,281,237,123,465,66.48,296.7
2022-03-01,Ponni,211,172,102,472,58.64,217.25
2022-04-01,Basmati,383,389,175,675,93.49,401.62
2022-04-01,Sona Masuri,328,317,222,685,66.2,332.91
2022-04-01,Ponni,232,195,108,481,60.35,240.16
2022-05-01,Basmati,429,369,299,750,95.41,432.03
2022-05-01,Sona Masuri,315,259,185,624,67.94,319.73
2022-05-01,Ponni,242,212,98,350,61.22,237.7
2022-06-01,Basmati,435,374,174,607,99.0,433.14
2022-06-01,Sona Masuri,340,338,128,590,67.81,333.81
2022-06-01,Ponni,226,221,98,430,60.3,235.29
2022-07-01,Basmati,369,296,201,579,99.8,365.51
2022-07-01,Sona Masuri,314,306,192,548,67.39,326.25
2022-07-01,Ponni,233,210,88,386,60.88,232.75
2022-08-01,Basmati,407,404,195,617,100.19,403.34
2022-08-01,Sona Masuri,290,271,123,575,67.44,305.78
2022-08-01,Ponni,211,196,102,487,62.33,216.21
2022-09-01,Basmati,329,324,150,624,101.36,335.07
2022-09-01,Sona Masuri,274,251,118,472,70.09,280.6
2022-09-01,Ponni,182,151,77,411,64.75,189.58
2022-10-01,Basmati,361,266,165,626,105.5,357.66
2022-10-01,Sona Masuri,274,246,146,593,71.51,269.58
2022-10-01,Ponni,198,181,109,434,63.63,208.42
2022-11-01,Basmati,351,260,178,572,100.58,344.82
2022-11-01,Sona Masuri,258,236,141,505,71.01,270.14
2022-11-01,Ponni,197,204,114,403,67.33,201.71
2022-12-01,Basmati,391,398,257,712,104.13,384.29
2022-12-01,Sona Masuri,254,193,133,582,72.52,261.29
2022-12-01,Ponni,200,177,145,539,67.48,205.2
2023-01-01,Basmati,315,271,234,727,104.34,330.56
2023-01-01,Sona Masuri,230,224,134,615,72.71,243.85
2023-01-01,Ponni,212,175,130,465,68.57,223.53
2023-02-01,Basmati,389,309,224,689,107.19,384.86
2023-02-01,Sona Masuri,270,285,124,602,74.73,274.86
2023-02-01,Ponni,223,184,109,453,68.09,223.93
2023-03-01,Basmati,440,456,175,649,108.26,431.16
2023-03-01,Sona Masuri,316,319,158,526,77.42,312.99
2023-03-01,Ponni,250,267,152,445,66.34,253.07
2023-04-01,Basmati,444,465,190,648,107.29,447.14
2023-04-01,Sona Masuri,336,323,218,578,76.43,348.98
2023-04-01,Ponni,244,256,166,466,67.83,249.36
2023-05-01,Basmati,417,435,264,751,110.28,443.12
2023-05-01,Sona Masuri,333,248,139,546,74.83,342.29
2023-05-01,Ponni,279,255,119,388,68.39,277.39
2023-06-01,Basmati,438,442,299,761,114.08,436.44
2023-06-01,Sona Masuri,340,346,176,628,77.59,338.79
2023-06-01,Ponni,280,292,182,595,71.82,277.69
2023-07-01,Basmati,434,465,293,922,112.29,449.07
2023-07-01,Sona Masuri,328,248,221,629,76.98,327.2
2023-07-01,Ponni,246,208,164,434,72.42,251.91
2023-08-01,Basmati,392,412,288,780,113.14,406.1
2023-08-01,Sona Masuri,297,263,204,528,77.69,291.87
2023-08-01,Ponni,243,194,100,388,71.1,239.0
2023-09-01,Basmati,361,327,187,689,112.66,365.6
2023-09-01,Sona Masuri,261,287,156,646,81.17,277.56
2023-09-01,Ponni,205,158,128,403,70.37,212.03
2023-10-01,Basmati,366,302,178,614,118.14,367.18
2023-10-01,Sona Masuri,263,239,194,626,80.68,276.63
2023-10-01,Ponni,227,213,89,391,71.79,235.08
2023-11-01,Basmati,352,311,188,605,117.22,354.49
2023-11-01,Sona Masuri,252,196,103,475,81.31,251.49
2023-11-01,Ponni,208,202,126,427,72.61,206.88
2023-12-01,Basmati,367,337,256,654,117.74,382.81
2023-12-01,Sona Masuri,260,261,149,530,82.5,272.31
2023-12-01,Ponni,221,217,92,424,73.92,220.73
2024-01-01,Basmati,384,288,182,680,122.22,390.93
2024-01-01,Sona Masuri,258,274,151,671,82.99,259.93
2024-01-01,Ponni,232,207,154,482,73.8,232.62
2024-02-01,Basmati,419,346,199,675,117.96,428.31
2024-02-01,Sona Masuri,309,254,127,460,81.81,312.19
2024-02-01,Ponni,232,181,108,431,76.31,236.15
2024-03-01,Basmati,431,401,231,658,120.12,443.58
2024-03-01,Sona Masuri,306,297,208,671,85.17,310.47
2024-03-01,Ponni,249,251,172,585,76.17,257.07
2024-04-01,Basmati,444,417,205,638,123.15,451.24
2024-04-01,Sona Masuri,342,337,183,544,84.85,354.09
2024-04-01,Ponni,264,194,137,423,76.9,266.44
2024-05-01,Basmati,478,441,200,657,123.31,502.68
2024-05-01,Sona Masuri,369,313,234,662,86.5,368.79
2024-05-01,Ponni,264,253,202,516,77.92,280.11
2024-06-01,Basmati,458,451,325,773,121.68,462.06
2024-06-01,Sona Masuri,350,350,211,587,86.36,368.89
2024-06-01,Ponni,256,249,171,455,76.49,268.96
2024-07-01,Basmati,445,342,228,683,121.24,469.47
2024-07-01,Sona Masuri,357,267,220,578,86.74,357.68
2024-07-01,Ponni,285,261,119,511,79.95,282.87
2024-08-01,Basmati,414,360,235,667,124.73,425.32
2024-08-01,Sona Masuri,318,351,200,716,86.07,335.46
2024-08-01,Ponni,241,253,114,517,78.5,241.3
2024-09-01,Basmati,366,363,177,769,126.88,375.21
2024-09-01,Sona Masuri,302,240,161,544,88.15,298.99
2024-09-01,Ponni,226,175,101,439,80.45,224.34
2024-10-01,Basmati,385,315,148,694,131.31,386.45
2024-10-01,Sona Masuri,317,317,199,650,90.29,323.7
2024-10-01,Ponni,197,166,128,416,81.07,208.43
2024-11-01,Basmati,374,329,241,679,128.62,380.96
2024-11-01,Sona Masuri,284,225,132,431,89.24,295.82
2024-11-01,Ponni,197,163,112,457,81.27,205.94
2024-12-01,Basmati,407,319,189,562,130.34,422.88
2024-12-01,Sona Masuri,303,251,219,602,91.06,308.58
2024-12-01,Ponni,235,207,158,487,81.85,233.21
